Tree,Ortho Groups,Empty-Ortho Groups,Dups,Ind. Dups
0,0,0,0,0
1,9,2,47,24
2,8,4,58,34
3,8,5,60,29
4,0,0,0,0
5,5,0,60,36
6,9,5,44,28
7,0,0,0,0
8,6,3,17,12
9,1,0,939,343
10,6,0,60,41
11,15,2,89,47
12,7,1,45,31
13,5,0,46,30
14,3,0,548,194
15,4,1,82,36
16,9,3,124,66
17,6,0,40,24
18,4,0,235,105
19,14,5,69,47
20,0,0,0,0
21,6,2,49,32
22,10,4,116,75
23,6,0,52,33
24,2,1,50,22
25,6,0,53,40
26,7,2,41,30
27,26,8,261,113
28,8,4,96,51
29,11,6,39,22
30,2,0,7,5
31,0,0,0,0
32,6,0,51,35
33,7,3,33,22
34,0,0,0,0
35,5,2,9,6
36,6,0,47,34
37,4,0,46,28
38,7,0,56,39
39,11,5,229,96
40,8,1,34,26
41,6,1,24,17
42,10,5,32,20
43,5,1,274,114
44,4,0,333,151
45,6,0,63,43
46,10,2,595,207
47,7,2,109,55
48,3,0,81,40
49,1,0,637,258
50,5,0,65,45
51,1,0,673,250
52,28,6,357,144
53,11,3,80,34
54,2,0,251,131
55,2,1,2,2
56,10,0,280,99
57,2,0,337,154
58,4,0,21,14
59,6,1,38,26
60,9,6,18,13
61,4,0,11,11
62,5,0,64,38
63,3,1,17,9
64,4,0,47,29
65,1,0,980,288
66,9,2,50,34
67,2,0,21,16
68,4,2,64,38
69,6,1,64,47
70,7,0,36,29
71,4,0,50,42
72,6,1,44,30
73,4,0,46,26
74,5,0,40,29
75,1,0,767,271
76,5,1,46,29
77,11,5,57,29
78,5,1,44,29
79,6,2,26,18
80,5,1,43,29
81,8,6,11,9
82,4,0,24,16
83,6,0,37,27
84,6,2,51,32
85,7,3,34,21
86,5,2,14,9
87,5,0,27,21
88,6,3,39,25
89,5,1,27,18
90,2,0,321,140
91,4,1,24,21
92,7,2,50,35
93,26,13,35,20
94,5,0,131,62
95,5,1,32,22
96,3,2,8,5
97,7,4,14,11
98,2,0,3,2
99,3,0,138,66
100,6,1,31,26
101,6,5,3,2
102,3,0,29,18
103,5,0,30,21
104,6,2,47,33
105,6,3,23,15
106,2,0,192,81
107,6,2,74,38
108,6,2,45,28
109,5,0,55,40
110,4,0,145,71
111,5,2,66,44
112,4,1,43,30
113,5,0,37,27
114,7,4,21,15
115,0,0,0,0
116,5,1,37,27
117,6,2,36,28
118,3,0,113,62
119,4,1,28,19
120,3,1,19,13
121,4,0,23,18
122,6,0,43,30
123,5,0,33,25
124,6,0,72,37
125,3,2,3,2
126,19,4,81,40
127,3,0,26,16
128,42,12,190,80
129,5,0,28,24
130,5,1,26,20
131,3,0,102,53
132,5,2,42,21
133,2,1,5,3
134,5,2,33,24
135,3,0,567,219
136,3,1,187,69
137,5,1,31,22
138,5,2,183,97
139,5,1,41,31
140,5,1,17,13
141,6,1,41,29
142,3,1,10,7
143,2,0,198,78
144,6,0,80,52
145,12,5,124,54
146,4,0,34,25
147,4,0,20,16
148,8,3,51,35
149,5,0,25,17
150,1,0,848,225
151,3,0,42,28
152,7,5,22,14
153,4,0,129,55
154,5,0,58,32
155,5,0,36,27
156,6,2,44,29
157,3,0,24,15
158,5,1,26,19
159,6,1,34,27
160,2,0,14,12
161,7,4,23,14
162,16,7,70,41
163,4,1,30,18
164,6,0,29,17
165,4,1,34,19
166,5,0,51,34
167,4,1,39,25
168,4,0,41,26
169,1,0,25,12
170,3,0,23,17
