PFO	Poecilia formosa (Amazon molly)
SRH	Sinocyclocheilus rhinocerous (Horned golden-line barbel)
PPY	Pongo abelii (Sumatran orangutan)
NFU	Nothobranchius furzeri (Turquoise killifish)
CJA	Callithrix jacchus (White-tufted-ear marmoset)
PTR	Pan troglodytes (Chimpanzee)
UPA	Urocitellus parryii (Arctic ground squirrel)
PSM	Prolemur simus (Greater bamboo lemur)
MEU	Notamacropus eugenii (Wallaby)
LCA	Lates calcarifer (Barramundi perch)
OSU	Otus sunia (Oriental scops-owl)
PLO	Panthera leo (Lion)
MPU	Mustela putorius furo (Ferret)
DAR	Danio rerio (Zebrafish)
CPO	Cavia porcellus (Guinea Pig)
MMD	Myripristis murdjan (Pinecone soldierfish)
PCA	Procavia capensis (Hyrax)
LBE	Labrus bergylta (Ballan wrasse)
XCO	Xiphophorus couchianus (Monterrey platyfish)
VVU	Vulpes vulpes (Red fox)
DLA	Dicentrarchus labrax (European seabass)
OSI	Oryzias sinensis (Chinese medaka)
ORL	Oryzias latipes (Japanese medaka HSOK)
GFO	Geospiza fortis (Medium ground-finch)
BSL	Betta splendens (Siamese fighting fish)
SFA	Salarias fasciatus (Jewelled blenny)
ACD	Anser cygnoides (Swan goose)
SSC	Sus scrofa (Pig - Pietrain)
CPI	Chrysolophus pictus (Golden pheasant)
XMA	Xiphophorus maculatus (Platyfish)
TRU	Takifugu rubripes (Fugu)
MUG	Meriones unguiculatus (Mongolian gerbil)
CAB	Chelonoidis abingdonii (Abingdon island giant tortoise)
MGP_PahariEiJ_	Mus pahari (Shrew mouse)
MGP_FVBNJ_	Mus musculus (Mouse FVB/NJ)
EBU	Eptatretus burgeri (Hagfish)
PRN	Parambassis ranga (Indian glassy fish)
DNV	Dromaius novaehollandiae (Emu)
SHB	Strigops habroptila (Kakapo)
KMA	Kryptolebias marmoratus (Mangrove rivulus)
GAG	Gopherus agassizii (Agassiz's desert tortoise)
SVL	Sciurus vulgaris (Eurasian red squirrel)
BTA	Bos taurus (Cow)
RRO	Rhinopithecus roxellana (Golden snub-nosed monkey)
CLA	Chinchilla lanigera (Long-tailed chinchilla)
HHU	Hucho hucho (Huchen)
NME	Numida meleagris (Helmeted guineafowl)
CPG	Calidris pygmaea (Spoon-billed sandpiper)
NPE	Nothoprocta perdicaria (Chilean tinamou)
MOD	Monodelphis domestica (Opossum)
SCU	Struthio camelus australis (African ostrich)
MLE	Mandrillus leucophaeus (Drill)
CGR	Cricetulus griseus (Chinese hamster CHOK1GS)
PME	Poecilia mexicana (Shortfin molly)
BGR	Bos grunniens (Domestic yak)
CGO	Cottoperca gobio (Channel bull blenny)
CAR	Carassius auratus (Goldfish)
MZE	Maylandia zebra (Zebra mbuna)
CHA	Scleropages formosus (Asian bonytongue)
SLU	Sander lucioperca (Pike-perch)
PSN	Phocoena sinus (Vaquita)
PRE	Poecilia reticulata (Guppy)
ACU	Athene cunicularia (Burrowing owl)
MOC	Microtus ochrogaster (Prairie vole)
PAN	Papio anubis (Olive baboon)
JHY	Junco hyemalis (Dark-eyed junco)
TMT	Terrapene carolina triunguis (Three-toed box turtle)
CSE	Cynoglossus semilaevis (Tongue sole)
HCO	Hippocampus comes (Tiger tail seahorse)
PST	Pavo cristatus (Indian peafowl)
LAC	Latimeria chalumnae (Coelacanth)
OCU	Oryctolagus cuniculus (Rabbit)
STU	Salmo trutta (Brown trout)
MGP_AKRJ_	Mus musculus (Mouse AKR/J)
SHA	Sarcophilus harrisii (Tasmanian devil)
EGO	Erythrura gouldiae (Gouldian finch)
TSY	Carlito syrichta (Tarsier)
APE	Amphiprion percula (Orange clownfish)
CMM	Cairina moschata domestica (Muscovy Duck (domestic type))
ZCA	Zalophus californianus (California sea lion)
ETE	Echinops telfairi (Lesser hedgehog tenrec)
PCO	Propithecus coquereli (Coquerel's sifaka)
ECR	Erpetoichthys calabaricus (Reedfish)
ELU	Esox lucius (Northern pike)
NBR	Neolamprologus brichardi (Lyretail cichlid)
ENL	Echeneis naucrates (Live sharksucker)
SPA	Stegastes partitus (Bicolor damselfish)
PCL	Phasianus colchicus (Ring-necked pheasant)
MAL	Monopterus albus (Swamp eel)
PEM	Peromyscus maniculatus bairdii (Northern American deer mouse)
SBO	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)
CDR	Camelus dromedarius (Arabian camel)
SAN	Sinocyclocheilus anshuiensis (Blind barbel)
GAL	Gallus gallus (Chicken (maternal Broiler))
GMO	Gadus morhua (Atlantic cod)
AZO	Anas zonorhyncha (Eastern spot-billed duck)
MGA	Meleagris gallopavo (Turkey)
MGP_AJ_	Mus musculus (Mouse A/J)
LCR	Larimichthys crocea (Large yellow croaker)
CGR	Cricetulus griseus (Chinese hamster PICR)
DCD	Denticeps clupeoides (Denticle herring)
SOC	Strix occidentalis caurina (Northern spotted owl)
BIX	Bos indicus x Bos taurus (Hybrid - Bos Taurus)
MGP_CASTEiJ_	Mus musculus castaneus (Mouse CAST/EiJ)
DOR	Dipodomys ordii (Kangaroo rat)
CPV	Camarhynchus parvulus (Small tree finch)
MGP_C3HHeJ_	Mus musculus (Mouse C3H/HeJ)
CAT	Cercocebus atys (Sooty mangabey)
LCN	Lynx canadensis (Canada lynx)
RBI	Rhinopithecus bieti (Black snub-nosed monkey)
TGE	Theropithecus gelada (Gelada)
PMA	Petromyzon marinus (Lamprey)
ARW	Apteryx rowi (Okarito brown kiwi)
MGP_DBA2J_	Mus musculus (Mouse DBA/2J)
MFA	Macaca fascicularis (Crab-eating macaque)
ACC	Aquila chrysaetos chrysaetos (Golden eagle)
CGR	Cricetulus griseus (Chinese hamster CriGri)
OME	Oryzias melastigma (Indian medaka)
ACI	Amphilophus citrinellus (Midas cichlid)
UTT	Ursus thibetanus thibetanus (Asiatic black bear)
ODE	Octodon degus (Degu)
PVI	Pogona vitticeps (Central bearded dragon)
OAN	Ornithorhynchus anatinus (Platypus)
NNA	Naja naja (Indian cobra)
GWI	Gouania willdenowi (Blunt-snouted clingfish)
DLE	Delphinapterus leucas (Beluga whale)
APL	Anas platyrhynchos platyrhynchos (Duck)
GAC	Gasterosteus aculeatus (Stickleback)
ACL	Astatotilapia calliptera (Eastern happy)
LAF	Loxodonta africana (Elephant)
FHE	Fundulus heteroclitus (Mummichog)
